start,end,name,description,type,nationality,image
1947,1991,Cold War,,politics,world,events/Cold_War.jpg
1968,1989,Plastic People of the Universe,,culture,czech,events/Plastic_People_of_the_Universe.jpg
1980,,John Lennon assassinated,,culture,world,events/John_Lennon_assassinated.jpg
1980,1988,Iran–Iraq War,,politics,world,events/Iran_Iraq_War.jpg
1960,1990,Czechoslovak Socialist republic,,politics,czech,events/Czechoslovak_Socialist_republic.jpg
1981,,"The first Space Shuttle, Columbia",,science&technology,world,events/The_first_Space_Shuttle_Columbia.jpg
1981,,Lesser Town courts exhibition,,culture,czech,events/Lesser_Town_courts_exhibition.jpg
1981,,Personal Computers introduced by IBM,,science&technology,world,events/Personal_Computers_introduced_by_IBM.jpg
1981,,Jean-Michel Basquiat,,art,world,events/Jean-Michel_Basquiat.jpg
1982,,E.T. Movie Released,,culture,world,events/E.T._Movie_Released.jpg
1982,,Keith Haring,,art,world,events/Keith_Haring.jpg
1980,1989,80s fashion,,culture,world,events/80s_fashion.jpg
1982,,Michael Jackson Releases Thriller,,culture,world,events/Michael_Jackson_Releases_Thriller.jpg
1980,1989,80s hairstyles,,culture,world,events/80s_hairstyles.jpg
1983,,National Theater and New Scene is reopened,,culture,czech,events/National_Theater_and_New_Scene_is_reopened.jpg
1985,,Miloš Forman wins Oscar,,culture,czech,events/Milos_Forman_wins_Oscar.jpg
1985,,Last spartakiade,,culture,czech,events/Last_spartakiade.jpg
1985,,Wreck of the Titanic Found,,science&technology,world,events/Wreck_of_the_Titanic_Found.jpg
1985,1991,Mikhail Gorbachev is leader of the Soviet Union,,politics,world,events/Mikhail_Gorbachev_is_leader_of_the_Soviet_Union.jpg
1985,,Hole in the Ozone Layer Discovered,,science&technology,world,events/Hole_in_the_Ozone_Layer_Discovered.jpg
1986,,Jeff Koons – Rabbit,,art,world,events/Jeff_Koons_Rabbit.jpg
1986,,Chernobyl Nuclear Disaster,,science&technology,world,events/Chernobyl_Nuclear_Disaster.jpg
1987,,Gorbachev and Reagan sign the INF Treaty,,politics,world,events/Gorbachev_and_Reagan_sign_the_INF_Treaty.jpg
1987,,Škoda Favorit is produced,,science&technology,czech,events/Skoda_Favorit_is_produced.jpg
1988,,Jeff Koons – Michael Jackson and Bubbles ,,art,world,events/Jeff_Koons_Michael_Jackson_and_Bubbles.jpg
1989,2003,Havel president,,politics,czech,events/Havel_president.jpg
1989,,World Wide Web Invented,,science&technology,world,events/World_Wide_Web_Invented.jpg
1989,,Berlin Wall Falls,,politics,world,events/Berlin_Wall_Falls.jpg
1989,,Velvet Revolution,,politics,czech,events/Velvet_Revolution.jpg
1990,,Gottwaldow renamed back to Zlin,,politics,czech,
1990,,Jan Chalupecký prize established,,culture,czech,
1990,,everybody learns english,,culture,czech,
1991,,Vysegrad fund signment ?,,politics,czech,
1992,,1st internet connection,,science&technology,czech,
1992,,1st McDonald restaurant,,culture,czech,
1990,1993,ČSFR,,politics,czech,
1993,,1st private TV station,,culture,czech,
1993,,Czechs are member of Unesco,,politics,czech,
1994,,Galerie Rudolfinum opens,,culture,czech,
1994,,FAVU established,,culture,czech,
